customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0000023,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),136.5,298.85,Yes
C0000024,Female,1,Yes,No,36,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),76.5,2722.07,No
C0000025,Female,0,No,No,36,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),108.41,3835.29,Yes
C0000026,Female,0,Yes,No,12,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),39.81,483.27,No
C0000027,Female,0,No,No,66,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Electronic check,103.13,6831.56,No
C0000028,Female,0,No,Yes,22,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),40.12,924.73,Yes
C0000029,Female,0,No,No,72,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),123.62,8840.8,No
C0000030,Female,0,Yes,Yes,15,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),128.78,1885.21,Yes
C0000031,Male,0,Yes,Yes,4,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,46.33,144.04,Yes
C0000032,Male,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),91.79,999.99,Yes
C0000033,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,66.79,4747.7,Yes
C0000034,Female,0,No,No,9,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),53.06,407.98,No
C0000035,Female,0,Yes,Yes,62,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,23.79,1452.37,Yes
C0000036,Male,0,No,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),102.5,3163.9,No
C0000037,Female,1,Yes,No,11,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,48.04,496.28,Yes
C0000038,Male,0,No,Yes,15,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.12,1597.31,No
C0000039,Male,1,Yes,Yes,18,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Mailed check,93.72,1675.61,No
C0000040,Male,0,Yes,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),140.42,2954.28,No
C0000041,Male,0,No,Yes,1,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,38.48,80.45,Yes
C0000042,Male,0,Yes,Yes,54,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.83,3230.18,No
C0000043,Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,41.98,827.96,Yes
C0000044,Female,0,Yes,Yes,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),102.89,5525.21,No
C0000045,Female,0,Yes,No,19,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,46.52,809.49,No
C0000046,Female,0,No,Yes,11,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,40.93,397.5,Yes
C0000047,Female,1,No,Yes,16,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),94.06,1427.88,No
C0000048,Male,0,Yes,No,35,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),67.81,2335.2,No
C0000049,Female,0,No,No,7,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),90.76,589.27,No
C0000050,Female,0,No,Yes,62,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,95.9,5880.64,Yes
C0000051,Male,0,No,No,12,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),27.21,433.3,No
C0000052,Female,0,Yes,Yes,62,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),113.72,7058.07,No
C0000053,Male,0,Yes,Yes,42,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,141.86,5966.15,No
C0000054,Female,1,No,No,29,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.59,2679.17,Yes
C0000055,Male,0,No,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,102.04,1202.14,Yes
C0000056,Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,133.9,2296.05,Yes
C0000057,Female,0,Yes,Yes,36,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,98.16,3519.63,No
C0000058,Male,0,Yes,No,15,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),77.64,1238.1,No
C0000059,Male,0,No,No,26,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,24.95,657.24,Yes
C0000060,Male,0,Yes,No,31,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),80.89,2576.1,Yes
C0000061,Male,0,Yes,Yes,14,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,105.69,1540.08,No
C0000062,Male,0,Yes,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,44.13,640.99,No
C0000063,Male,0,No,No,4,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.66,302.92,Yes
C0000064,Male,0,Yes,No,5,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),45.14,252.53,Yes
C0000065,Male,0,Yes,No,47,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,105.94,4901.24,No
C0000066,Female,0,No,No,36,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,55.05,2068.09,Yes
C0000067,Female,0,No,No,0,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,22.64, ,Yes
C0000068,Male,1,Yes,No,40,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,92.88,3701.26,No
C0000069,Female,1,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),27.2, ,Yes
C0000070,Female,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),48.0,594.01,Yes
C0000071,Female,0,No,Yes,1,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.15,155.56,Yes
C0000072,Female,0,No,No,69,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,118.69,8181.96,No
C0000073,Male,0,No,No,71,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),60.78,4346.67,Yes
C0000074,Female,1,No,No,18,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,47.51,895.82,No
C0000075,Male,0,No,Yes,9,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),35.44,415.9,Yes
C0000076,Female,1,Yes,No,14,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Electronic check,77.74,1086.89,Yes
C0000077,Female,1,Yes,No,28,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,72.32,2068.26,No
C0000078,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,22.68,44.17,Yes
C0000079,Male,0,Yes,No,11,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),80.73,817.37,No
C0000080,Female,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,77.95,2033.12,No
C0000081,Male,1,Yes,No,10,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,42.74,440.84,Yes
C0000082,Female,0,No,Yes,0,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,90.5, ,Yes
C0000083,Male,1,Yes,Yes,14,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,120.96,1745.98,No
C0000084,Female,0,Yes,Yes,26,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,94.69,2381.26,No
C0000085,Male,0,No,Yes,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,29.84,2156.44,Yes
C0000086,Male,1,Yes,No,0,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),119.22, ,Yes
C0000087,Female,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,17.84,358.94,No
C0000088,Male,0,Yes,No,11,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,42.5,416.79,Yes
C0000089,Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),44.97,256.63,Yes
C0000090,Female,0,Yes,No,20,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),55.74,1015.3,No
C0000091,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),54.26,90.18,No
C0000092,Female,0,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),131.63,770.69,No
C0000093,Female,1,No,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),99.21,2973.32,Yes
C0000094,Female,1,Yes,No,12,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,46.26,489.89,Yes
C0000095,Female,0,No,Yes,72,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),115.32,8328.21,No
C0000096,Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,54.95,426.82,Yes
C0000097,Female,0,No,No,12,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,40.29,479.07,No
C0000098,Female,0,No,No,7,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,137.35,1004.14,Yes
C0000099,Female,1,Yes,Yes,5,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),68.7,418.71,Yes
C0000100,Male,0,No,No,51,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),93.78,4871.17,No
C0000101,Male,0,Yes,No,27,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),101.89,2713.06,No
C0000102,Female,0,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,81.77,675.56,No
C0000103,Female,0,Yes,Yes,24,No,No phone service,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,74.03,1832.3,Yes
C0000104,Female,0,Yes,No,67,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),21.84,1567.31,Yes
C0000105,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),105.53,142.64,Yes
C0000106,Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,93.7,512.65,No
C0000107,Female,0,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,24.9,69.26,Yes
C0000108,Female,0,No,No,40,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.04,3954.96,No
C0000109,Female,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,44.99,136.08,Yes
C0000110,Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,98.5,664.97,No
C0000111,Female,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),54.02,884.57,Yes
C0000112,Male,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,33.34,531.59,Yes
C0000113,Female,0,No,Yes,33,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,32.56,1039.21,No
C0000114,Female,0,No,Yes,10,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),133.93,1405.04,Yes
C0000115,Male,0,No,No,15,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),62.79,909.25,Yes
C0000116,Female,1,No,No,67,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,133.76,8907.56,No
C0000117,Male,1,Yes,Yes,7,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.83,669.28,Yes
C0000118,Female,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,131.56,658.24,Yes
C0000119,Female,1,Yes,No,24,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,91.07,2209.23,No
C0000120,Male,0,No,No,29,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),48.42,1514.79,No
C0000121,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,48.79,508.29,Yes
C0000122,Male,0,Yes,Yes,4,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),60.33,161.17,Yes
C0000123,Female,0,Yes,Yes,30,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),36.05,1114.51,No
C0000124,Male,0,No,No,22,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,127.56,2822.11,No
C0000125,Male,0,Yes,Yes,41,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,64.27,2571.77,Yes
C0000126,Female,0,No,No,37,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),89.77,3348.33,No
C0000127,Female,0,Yes,No,4,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),119.66,559.34,Yes
C0000128,Male,0,Yes,No,35,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,85.12,2998.91,No
C0000129,Female,1,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),49.69,172.99,Yes
C0000130,Female,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),72.57,2880.24,No
C0000131,Female,0,No,No,29,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,109.46,3223.46,Yes
C0000132,Male,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,97.06,1538.97,Yes
C0000133,Male,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.48,843.81,Yes
C0000134,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),40.64,40.64,Yes
C0000135,Male,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,109.38, ,Yes
C0000136,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,104.58,874.27,Yes
C0000137,Male,0,Yes,Yes,34,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,107.17,3590.17,Yes
C0000138,Male,0,Yes,No,12,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),29.71,458.57,Yes
C0000139,Male,0,Yes,No,5,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,45.78,163.57,No
C0000140,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),105.5,3647.5,Yes
C0000141,Female,0,Yes,No,5,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,90.53,419.87,Yes
C0000142,Male,0,No,Yes,33,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.41,2622.95,Yes
C0000143,Female,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),58.08,718.25,Yes
C0000144,Female,1,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,32.89,424.2,Yes
C0000145,Female,1,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.4,227.68,Yes
C0000146,Male,1,No,No,46,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,35.57,1579.4,Yes
C0000147,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,62.89,145.14,Yes
C0000148,Male,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),96.26,249.61,Yes
C0000149,Male,0,Yes,No,20,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,94.06,1857.95,Yes
C0000150,Female,0,No,No,37,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),43.58,1555.71,Yes
C0000151,Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,30.85,54.17,Yes
C0000152,Male,0,Yes,Yes,26,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,104.87,2796.58,No
C0000153,Male,1,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,80.92,2253.6,No
C0000154,Male,0,No,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.5,563.36,Yes
C0000155,Male,1,Yes,No,13,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,43.57,488.09,Yes
C0000156,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,72.85,477.45,Yes
C0000157,Male,0,Yes,No,8,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,105.0,804.89,Yes
C0000158,Female,0,Yes,No,22,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),29.96,592.32,Yes
C0000159,Male,0,No,No,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),73.9,73.9,No
C0000160,Female,0,Yes,No,17,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),56.33,985.63,No
C0000161,Male,0,No,Yes,6,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),143.04,841.61,Yes
C0000162,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),40.67,491.09,No
C0000163,Female,0,No,Yes,16,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,78.92,1255.25,Yes
C0000164,Female,1,No,Yes,43,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,118.66,5091.98,No
C0000165,Female,0,No,No,17,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,102.01,1811.83,No
C0000166,Male,1,No,No,5,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,34.84,184.72,Yes
C0000167,Female,0,Yes,Yes,1,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),113.48,124.56,Yes
C0000168,Male,0,No,No,19,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,73.36,1341.47,No
C0000169,Male,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),101.03,1552.92,No
C0000170,Female,0,No,Yes,22,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),120.25,2669.14,Yes
C0000171,Female,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),74.36,864.79,Yes
C0000172,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),121.5,4111.23,No
C0000173,Male,0,No,No,50,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,129.91,6419.18,No
C0000174,Female,0,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,100.89, ,Yes
C0000175,Female,0,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),98.84,2600.31,Yes
C0000176,Female,0,Yes,No,0,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),70.15, ,Yes
C0000177,Male,0,No,No,11,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65.27,755.81,Yes
C0000178,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.27,276.99,Yes
C0000179,Male,0,No,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,80.05,1901.54,Yes
